CampsiteCode,month,capacity_month_mean,avgtemp_month_mean
Meditite,1,234.0,12.0
Meditite,2,234.0,12.5
Meditite,3,234.0,14.0
Meditite,4,234.0,17.0
Meditite,5,234.0,21.0
Meditite,6,234.0,25.5
Meditite,7,234.0,28.0
Meditite,8,234.0,28.0
Meditite,9,234.0,25.0
Meditite,10,234.0,21.0
Meditite,11,234.0,17.0
Meditite,12,234.0,13.5
Drampa,1,590.0,7.0
Drampa,2,590.0,8.0
Drampa,3,590.0,11.0
Drampa,4,590.0,14.0
Drampa,5,590.0,18.0
Drampa,6,590.0,22.5
Drampa,7,590.0,25.5
Drampa,8,590.0,25.0
Drampa,9,590.0,21.0
Drampa,10,590.0,16.0
Drampa,11,590.0,10.5
Drampa,12,590.0,7.5
Fearow,1,349.0,-2.0
Fearow,2,349.0,-1.0
Fearow,3,349.0,3.5
Fearow,4,349.0,9.5
Fearow,5,349.0,15.0
Fearow,6,349.0,18.5
Fearow,7,349.0,20.5
Fearow,8,349.0,19.799999999999567
Fearow,9,349.0,14.799999999999496
Fearow,10,349.0,9.0
Fearow,11,349.0,3.5
Fearow,12,349.0,0.0
Krabby,1,309.3333333333333,-3.0
Krabby,2,309.5,-3.5
Krabby,3,309.6666666666667,0.5
Krabby,4,309.3333333333333,5.5
Krabby,5,309.5,11.5
Krabby,6,309.6666666666667,16.0
Krabby,7,309.3333333333333,18.5
Krabby,8,309.5,17.5
Krabby,9,309.5,12.5
Krabby,10,309.5,7.5
Krabby,11,309.5,2.5
Krabby,12,309.6666666666667,-1.0
Carnivine,1,435.0,-3.0
Carnivine,2,435.0,-3.5
Carnivine,3,435.0,0.5
Carnivine,4,435.0,5.5
Carnivine,5,435.0,11.5
Carnivine,6,435.0,16.0
Carnivine,7,435.0,18.5
Carnivine,8,435.0,17.5
Carnivine,9,435.0,12.5
Carnivine,10,435.0,7.5
Carnivine,11,435.0,2.5
Carnivine,12,435.0,-1.0
Zoroark,1,950.0,12.0
Zoroark,2,950.0,12.5
Zoroark,3,950.0,14.0
Zoroark,4,950.0,17.0
Zoroark,5,950.0,21.0
Zoroark,6,950.0,25.5
Zoroark,7,950.0,28.0
Zoroark,8,950.0,28.0
Zoroark,9,950.0,25.0
Zoroark,10,950.0,21.0
Zoroark,11,950.0,17.0
Zoroark,12,950.0,13.5
Combee,1,211.0,6.5
Combee,2,211.0,8.0
Combee,3,211.0,11.0
Combee,4,211.0,13.5
Combee,5,211.0,17.5
Combee,6,211.0,23.0
Combee,7,211.0,27.0
Combee,8,211.0,26.5
Combee,9,211.0,22.0
Combee,10,211.0,15.5
Combee,11,211.0,10.0
Combee,12,211.0,7.0
Glaceon,1,184.77777777777777,-2.0
Glaceon,2,185.5,-1.0
Glaceon,3,186.22222222222223,3.5
Glaceon,4,184.77777777777777,9.5
Glaceon,5,185.5,15.0
Glaceon,6,186.22222222222223,18.5
Glaceon,7,184.77777777777777,20.5
Glaceon,8,185.5,19.799999999999567
Glaceon,9,185.5,14.799999999999496
Glaceon,10,185.5,9.0
Glaceon,11,185.5,3.5
Glaceon,12,186.22222222222223,0.0
Trubbish,1,373.3333333333333,2.0
Trubbish,2,373.5,2.5
Trubbish,3,373.6666666666667,4.5
Trubbish,4,373.3333333333333,7.0
Trubbish,5,373.5,11.0
Trubbish,6,373.6666666666667,14.0
Trubbish,7,373.3333333333333,16.0
Trubbish,8,373.5,15.5
Trubbish,9,373.5,12.5
Trubbish,10,373.5,9.0
Trubbish,11,373.5,5.0
Trubbish,12,373.6666666666667,3.0
MimeJr,1,237.77777777777777,12.0
MimeJr,2,239.0,12.5
